Region,CalendarYear,Month,Days,Kilograms
Mapstone - Cairns,2009,05 - May,20,23.76
Mapstone - Cairns,2009,06 - June,10,5
Mapstone - Cairns,2009,07 - July,N/A,N/A
Mapstone - Cairns,2009,08 - August,19,16.88
Mapstone - Cairns,2009,09 - September,45,58.16
Mapstone - Cairns,2009,10 - October,34,106.44
Mapstone - Cairns,2009,11 - November,44,2.94
Mapstone - Cairns,2009,12 - December,10,0
Mapstone - Cairns,2009 Total,,310,361.12
Mapstone - Cairns,2010,01 - January,N/A,N/A
Mapstone - Cairns,2010,02 - February,10,3.5
Mapstone - Cairns,2010,03 - March,30,134
Mapstone - Cairns,2010,04 - April,34,134
Mapstone - Cairns,2010,05 - May,18,31
Mapstone - Cairns,2010,06 - June,16,5
Mapstone - Cairns,2010,07 - July,10,5
Mapstone - Cairns,2010,08 - August,25,2
Mapstone - Cairns,2010,09 - September,47,32.5
Mapstone - Cairns,2010,10 - October,59,111
Mapstone - Cairns,2010,11 - November,15,2.94
Mapstone - Cairns,2010,12 - December,N/A,N/A
Mapstone - Cairns,2010 Total,,273,463.88
Mapstone - Cairns,2011,01 - January,N/A,N/A
Mapstone - Cairns,2011,02 - February,12,12
Mapstone - Cairns,2011,03 - March,35,71
Mapstone - Cairns,2011,04 - April,43,100.5
Mapstone - Cairns,2011,05 - May,38,105
Mapstone - Cairns,2011,06 - June,26,27
Mapstone - Cairns,2011,07 - July,22,22
Mapstone - Cairns,2011,08 - August,30,17
Mapstone - Cairns,2011,09 - September,41,52
Mapstone - Cairns,2011,10 - October,51,47.5
Mapstone - Cairns,2011,11 - November,9,0
Mapstone - Cairns,2011,12 - December,N/A,N/A
Mapstone - Cairns,2011 Total,,323,454
Mapstone - Cairns,2012,01 - January,N/A,N/A
Mapstone - Cairns,2012,02 - February,18,12
Mapstone - Cairns,2012,03 - March,20,150
Mapstone - Cairns,2012,04 - April,30,216
Mapstone - Cairns,2012,05 - May,30,152
Mapstone - Cairns,2012,06 - June,N/A,N/A
Mapstone - Cairns,2012,07 - July,N/A,N/A
Mapstone - Cairns,2012,08 - August,16,39.5
Mapstone - Cairns,2012,09 - September,34,60.5
Mapstone - Cairns,2012,10 - October,55,108.64
Mapstone - Cairns,2012,11 - November,20,0
Mapstone - Cairns,2012,12 - December,N/A,N/A
Mapstone - Cairns,2012 Total,,265,801.14
Mapstone - Cairns,2013,01 - January,N/A,N/A
Mapstone - Cairns,2013,02 - February,13,69
Mapstone - Cairns,2013,03 - March,34,206
Mapstone - Cairns,2013,04 - April,25,115
Mapstone - Cairns,2013,05 - May,26,61
Mapstone - Cairns,2013,06 - June,N/A,N/A
Mapstone - Cairns,2013,07 - July,29,225
Mapstone - Cairns,2013,08 - August,18,28.5
Mapstone - Cairns,2013,09 - September,N/A,N/A
Mapstone - Cairns,2013,10 - October,N/A,N/A
Mapstone - Cairns,2013,11 - November,N/A,N/A
Mapstone - Cairns,2013,12 - December,N/A,N/A
Mapstone - Cairns,2013 Total,,281,"1,025.5"
Mapstone - Cairns,2014,01 - January,N/A,N/A
Mapstone - Cairns,2014,02 - February,N/A,N/A
Mapstone - Cairns,2014,03 - March,N/A,N/A
Mapstone - Cairns,2014,04 - April,N/A,N/A
Mapstone - Cairns,2014,05 - May,N/A,N/A
Mapstone - Cairns,2014,06 - June,N/A,N/A
Mapstone - Cairns,2014,07 - July,N/A,N/A
Mapstone - Cairns,2014,08 - August,N/A,N/A
Mapstone - Cairns,2014,09 - September,N/A,N/A
Mapstone - Cairns,2014,10 - October,38,32.5
Mapstone - Cairns,2014,11 - November,N/A,N/A
Mapstone - Cairns,2014,12 - December,N/A,N/A
Mapstone - Cairns,2014 Total,,197,426
Mapstone - Cairns,2015,01 - January,N/A,N/A
Mapstone - Cairns,2015,02 - February,N/A,N/A
Mapstone - Cairns,2015,03 - March,N/A,N/A
Mapstone - Cairns,2015,04 - April,N/A,N/A
Mapstone - Cairns,2015,05 - May,N/A,N/A
Mapstone - Cairns,2015,06 - June,N/A,N/A
Mapstone - Cairns,2015,07 - July,N/A,N/A
Mapstone - Cairns,2015,08 - August,N/A,N/A
Mapstone - Cairns,2015,09 - September,N/A,N/A
Mapstone - Cairns,2015,10 - October,25,110
Mapstone - Cairns,2015,11 - November,N/A,N/A
Mapstone - Cairns,2015,12 - December,N/A,N/A
Mapstone - Cairns,2015 Total,,163,331
Mapstone - Cairns,2016,01 - January,N/A,N/A
Mapstone - Cairns,2016,02 - February,N/A,N/A
Mapstone - Cairns,2016,03 - March,18,37
Mapstone - Cairns,2016,04 - April,22,28
Mapstone - Cairns,2016,05 - May,N/A,N/A
Mapstone - Cairns,2016,06 - June,N/A,N/A
Mapstone - Cairns,2016,07 - July,19,15.88
Mapstone - Cairns,2016,08 - August,N/A,N/A
Mapstone - Cairns,2016,09 - September,20,36.88
Mapstone - Cairns,2016,10 - October,23,53.5
Mapstone - Cairns,2016,11 - November,N/A,N/A
Mapstone - Cairns,2016,12 - December,N/A,N/A
Mapstone - Cairns,2016 Total,,166,225.26
Mapstone - Cairns,2017,01 - January,N/A,N/A
Mapstone - Cairns,2017,02 - February,25,71.16
Mapstone - Cairns,2017,03 - March,21,337
Mapstone - Cairns,2017,04 - April,20,102.94
Mapstone - Cairns,2017,05 - May,N/A,N/A
Mapstone - Cairns,2017,06 - June,28,60
Mapstone - Cairns,2017,07 - July,18,46
Mapstone - Cairns,2017,08 - August,13,29.5
Mapstone - Cairns,2017,09 - September,27,42.5
Mapstone - Cairns,2017,10 - October,18,43.5
Mapstone - Cairns,2017,11 - November,N/A,N/A
Mapstone - Cairns,2017,12 - December,N/A,N/A
Mapstone - Cairns,2017 Total,,204,767.6
Mapstone - Cairns,2018,01 - January,N/A,N/A
Mapstone - Cairns,2018,02 - February,N/A,N/A
Mapstone - Cairns,2018,03 - March,9,36.58
Mapstone - Cairns,2018,04 - April,19,182.82
Mapstone - Cairns,2018,05 - May,38,378
Mapstone - Cairns,2018,06 - June,N/A,N/A
Mapstone - Cairns,2018,07 - July,19,39.58
Mapstone - Cairns,2018,08 - August,27,64.7
Mapstone - Cairns,2018,09 - September,22,33.26
Mapstone - Cairns,2018,10 - October,29,56.82
Mapstone - Cairns,2018,11 - November,11,5
Mapstone - Cairns,2018,12 - December,6,0
Mapstone - Cairns,2018 Total,,209,881.76
Mapstone - Cairns,2019,01 - January,N/A,N/A
Mapstone - Cairns,2019,02 - February,N/A,N/A
Mapstone - Cairns,2019,03 - March,15,33.32
Mapstone - Cairns,2019,04 - April,22,60.7
Mapstone - Cairns,2019,05 - May,N/A,N/A
Mapstone - Cairns,2019,06 - June,N/A,N/A
Mapstone - Cairns,2019,07 - July,N/A,N/A
Mapstone - Cairns,2019,08 - August,N/A,N/A
Mapstone - Cairns,2019,09 - September,N/A,N/A
Mapstone - Cairns,2019,10 - October,27,35
Mapstone - Cairns,2019,11 - November,N/A,N/A
Mapstone - Cairns,2019,12 - December,N/A,N/A
Mapstone - Cairns,2019 Total,,121,278.78
Mapstone - Cairns,2020,01 - January,13,0
Mapstone - Cairns,2020,02 - February,N/A,N/A
Mapstone - Cairns,2020,03 - March,N/A,N/A
Mapstone - Cairns,2020,07 - July,10,23.94
Mapstone - Cairns,2020,08 - August,20,66.04
Mapstone - Cairns,2020,09 - September,22,53
Mapstone - Cairns,2020,10 - October,N/A,N/A
Mapstone - Cairns,2020,11 - November,N/A,N/A
Mapstone - Cairns,2020,12 - December,N/A,N/A
Mapstone - Cairns,2020 Total,,101,161.98
Mapstone - Cairns,2021,01 - January,N/A,N/A
Mapstone - Cairns,2021,02 - February,N/A,N/A
Mapstone - Cairns,2021,03 - March,N/A,N/A
Mapstone - Cairns,2021,04 - April,N/A,N/A
Mapstone - Cairns,2021,05 - May,N/A,N/A
Mapstone - Cairns,2021,06 - June,N/A,N/A
Mapstone - Cairns,2021,07 - July,N/A,N/A
Mapstone - Cairns,2021,08 - August,N/A,N/A
Mapstone - Cairns,2021,09 - September,N/A,N/A
Mapstone - Cairns,2021,10 - October,N/A,N/A
Mapstone - Cairns,2021,11 - November,N/A,N/A
Mapstone - Cairns,2021,12 - December,N/A,N/A
Mapstone - Cairns,2021 Total,,97,270.82
Mapstone - Cairns,2022,01 - January,N/A,N/A
Mapstone - Cairns,2022,02 - February,17,37.5
Mapstone - Cairns,2022,03 - March,26,44
Mapstone - Cairns,2022,04 - April,N/A,N/A
Mapstone - Cairns,2022,05 - May,N/A,N/A
Mapstone - Cairns,2022,06 - June,N/A,N/A
Mapstone - Cairns,2022,07 - July,N/A,N/A
Mapstone - Cairns,2022,08 - August,N/A,N/A
Mapstone - Cairns,2022,09 - September,N/A,N/A
Mapstone - Cairns,2022,10 - October,N/A,N/A
Mapstone - Cairns,2022,11 - November,N/A,N/A
Mapstone - Cairns,2022,12 - December,N/A,N/A
Mapstone - Cairns,2022 Total,,197,402.8
Mapstone - Cairns,2023,01 - January,N/A,N/A
Mapstone - Cairns,2023,02 - February,N/A,N/A
Mapstone - Cairns,2023,03 - March,N/A,N/A
Mapstone - Cairns,2023,04 - April,N/A,N/A
Mapstone - Cairns,2023,05 - May,N/A,N/A
Mapstone - Cairns,2023,06 - June,N/A,N/A
Mapstone - Cairns,2023,07 - July,N/A,N/A
Mapstone - Cairns,2023,08 - August,N/A,N/A
Mapstone - Cairns,2023,09 - September,16,14
Mapstone - Cairns,2023,10 - October,N/A,N/A
Mapstone - Cairns,2023,11 - November,N/A,N/A
Mapstone - Cairns,2023,12 - December,N/A,N/A
Mapstone - Cairns,2023 Total,,129,273
Mapstone - Cairns Total,,,8875,"12,744.48"
Mapstone - Capricorn bunker,1997,09 - September,N/A,N/A
Mapstone - Capricorn bunker,1998,02 - February,N/A,N/A
Mapstone - Capricorn bunker,1999,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2000,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2000,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2000,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2000,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2000,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2000 Total,,N/A,N/A
Mapstone - Capricorn bunker,2001,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2001,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2001,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2001,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2001 Total,,N/A,N/A
Mapstone - Capricorn bunker,2002,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2002,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2002 Total,,N/A,N/A
Mapstone - Capricorn bunker,2005,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2005,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2005,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2005,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2005 Total,,N/A,N/A
Mapstone - Capricorn bunker,2006,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2006,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2006,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2006,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2006,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2006,06 - June,N/A,N/A
Mapstone - Capricorn bunker,2006,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2006,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2006,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2006 Total,,N/A,N/A
Mapstone - Capricorn bunker,2008,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2008,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2008,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2008 Total,,N/A,N/A
Mapstone - Capricorn bunker,2009,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2009,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2009 Total,,N/A,N/A
Mapstone - Capricorn bunker,2010,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2010,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2010 Total,,N/A,N/A
Mapstone - Capricorn bunker,2011,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2016,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2017,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2017,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2017,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2017,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2017 Total,,N/A,N/A
Mapstone - Capricorn bunker,2018,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2018,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2018,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2018,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2018,07 - July,N/A,N/A
Mapstone - Capricorn bunker,2018,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2018,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2018,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2018 Total,,55,"3,415"
Mapstone - Capricorn bunker,2019,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2019,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2019,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2019,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2019,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2019,06 - June,N/A,N/A
Mapstone - Capricorn bunker,2019,07 - July,N/A,N/A
Mapstone - Capricorn bunker,2019,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2019,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2019,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2019,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2019,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2019 Total,,99,"4,033.88"
Mapstone - Capricorn bunker,2020,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2020,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2020,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2020,06 - June,N/A,N/A
Mapstone - Capricorn bunker,2020,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2020,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2020,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2020,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2020 Total,,N/A,N/A
Mapstone - Capricorn bunker,2021,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2021,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2021,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2021,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2021,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2021,06 - June,N/A,N/A
Mapstone - Capricorn bunker,2021,07 - July,N/A,N/A
Mapstone - Capricorn bunker,2021,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2021,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2021,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2021,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2021,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2021 Total,,N/A,N/A
Mapstone - Capricorn bunker,2022,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2022,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2022,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2022,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2022,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2022,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2022,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2022,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2022,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2022,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2022 Total,,N/A,N/A
Mapstone - Capricorn bunker,2023,01 - January,N/A,N/A
Mapstone - Capricorn bunker,2023,02 - February,N/A,N/A
Mapstone - Capricorn bunker,2023,03 - March,N/A,N/A
Mapstone - Capricorn bunker,2023,04 - April,N/A,N/A
Mapstone - Capricorn bunker,2023,05 - May,N/A,N/A
Mapstone - Capricorn bunker,2023,06 - June,N/A,N/A
Mapstone - Capricorn bunker,2023,07 - July,N/A,N/A
Mapstone - Capricorn bunker,2023,08 - August,N/A,N/A
Mapstone - Capricorn bunker,2023,09 - September,N/A,N/A
Mapstone - Capricorn bunker,2023,10 - October,N/A,N/A
Mapstone - Capricorn bunker,2023,11 - November,N/A,N/A
Mapstone - Capricorn bunker,2023,12 - December,N/A,N/A
Mapstone - Capricorn bunker,2023 Total,,N/A,N/A
Mapstone - Capricorn bunker Total,,,596,"10,799"
Mapstone - Far northern,1997,04 - April,N/A,N/A
Mapstone - Far northern,1997,05 - May,N/A,N/A
Mapstone - Far northern,1997,06 - June,N/A,N/A
Mapstone - Far northern,1997 Total,,N/A,N/A
Mapstone - Far northern,1998,06 - June,N/A,N/A
Mapstone - Far northern,1998,07 - July,N/A,N/A
Mapstone - Far northern,1998,09 - September,N/A,N/A
Mapstone - Far northern,1998 Total,,N/A,N/A
Mapstone - Far northern,1999,01 - January,N/A,N/A
Mapstone - Far northern,1999,04 - April,N/A,N/A
