Region,CalendarYear,Month,Days,Kilograms
Mapstone - Mackay,2006,02 - February,N/A,N/A
Mapstone - Mackay,2006,03 - March,N/A,N/A
Mapstone - Mackay,2006,04 - April,N/A,N/A
Mapstone - Mackay,2006,05 - May,N/A,N/A
Mapstone - Mackay,2006,06 - June,N/A,N/A
Mapstone - Mackay,2006,09 - September,N/A,N/A
Mapstone - Mackay,2006,10 - October,N/A,N/A
Mapstone - Mackay,2006 Total,,N/A,N/A
Mapstone - Mackay,2007,09 - September,N/A,N/A
Mapstone - Mackay,2007,10 - October,N/A,N/A
Mapstone - Mackay,2007,11 - November,N/A,N/A
Mapstone - Mackay,2007 Total,,N/A,N/A
Mapstone - Mackay,2008,10 - October,N/A,N/A
Mapstone - Mackay,2009,02 - February,N/A,N/A
Mapstone - Mackay,2009,03 - March,N/A,N/A
Mapstone - Mackay,2009,04 - April,N/A,N/A
Mapstone - Mackay,2009,08 - August,N/A,N/A
Mapstone - Mackay,2009,09 - September,N/A,N/A
Mapstone - Mackay,2009,10 - October,N/A,N/A
Mapstone - Mackay,2009,11 - November,N/A,N/A
Mapstone - Mackay,2009 Total,,N/A,N/A
Mapstone - Mackay,2010,01 - January,N/A,N/A
Mapstone - Mackay,2010,02 - February,N/A,N/A
Mapstone - Mackay,2010,03 - March,N/A,N/A
Mapstone - Mackay,2010 Total,,N/A,N/A
Mapstone - Mackay,2012,02 - February,N/A,N/A
Mapstone - Mackay,2012,04 - April,N/A,N/A
Mapstone - Mackay,2012,05 - May,N/A,N/A
Mapstone - Mackay,2012,06 - June,N/A,N/A
Mapstone - Mackay,2012,07 - July,N/A,N/A
Mapstone - Mackay,2012,08 - August,N/A,N/A
Mapstone - Mackay,2012,09 - September,N/A,N/A
Mapstone - Mackay,2012,10 - October,N/A,N/A
Mapstone - Mackay,2012 Total,,N/A,N/A
Mapstone - Mackay,2013,02 - February,N/A,N/A
Mapstone - Mackay,2013,03 - March,N/A,N/A
Mapstone - Mackay,2013,05 - May,N/A,N/A
Mapstone - Mackay,2013,06 - June,N/A,N/A
Mapstone - Mackay,2013,09 - September,N/A,N/A
Mapstone - Mackay,2013 Total,,N/A,N/A
Mapstone - Mackay,2016,03 - March,N/A,N/A
Mapstone - Mackay,2016,04 - April,N/A,N/A
Mapstone - Mackay,2016,05 - May,N/A,N/A
Mapstone - Mackay,2016,06 - June,N/A,N/A
Mapstone - Mackay,2016,07 - July,N/A,N/A
Mapstone - Mackay,2016,08 - August,N/A,N/A
Mapstone - Mackay,2016 Total,,N/A,N/A
Mapstone - Mackay,2017,02 - February,N/A,N/A
Mapstone - Mackay,2017,03 - March,N/A,N/A
Mapstone - Mackay,2017,11 - November,N/A,N/A
Mapstone - Mackay,2017 Total,,N/A,N/A
Mapstone - Mackay,2018,01 - January,N/A,N/A
Mapstone - Mackay,2018,02 - February,N/A,N/A
Mapstone - Mackay,2018,03 - March,N/A,N/A
Mapstone - Mackay,2018,04 - April,N/A,N/A
Mapstone - Mackay,2018,06 - June,N/A,N/A
Mapstone - Mackay,2018,08 - August,N/A,N/A
Mapstone - Mackay,2018,09 - September,N/A,N/A
Mapstone - Mackay,2018,10 - October,N/A,N/A
Mapstone - Mackay,2018,11 - November,N/A,N/A
Mapstone - Mackay,2018,12 - December,N/A,N/A
Mapstone - Mackay,2018 Total,,N/A,N/A
Mapstone - Mackay,2019,01 - January,N/A,N/A
Mapstone - Mackay,2019,02 - February,N/A,N/A
Mapstone - Mackay,2019,03 - March,N/A,N/A
Mapstone - Mackay,2019,04 - April,N/A,N/A
Mapstone - Mackay,2019,05 - May,N/A,N/A
Mapstone - Mackay,2019,09 - September,N/A,N/A
Mapstone - Mackay,2019,10 - October,N/A,N/A
Mapstone - Mackay,2019,11 - November,N/A,N/A
Mapstone - Mackay,2019 Total,,N/A,N/A
Mapstone - Mackay,2020,08 - August,N/A,N/A
Mapstone - Mackay,2020,09 - September,N/A,N/A
Mapstone - Mackay,2020,10 - October,N/A,N/A
Mapstone - Mackay,2020,12 - December,N/A,N/A
Mapstone - Mackay,2020 Total,,N/A,N/A
Mapstone - Mackay,2021,02 - February,N/A,N/A
Mapstone - Mackay,2021,03 - March,N/A,N/A
Mapstone - Mackay,2021,04 - April,N/A,N/A
Mapstone - Mackay,2021,05 - May,N/A,N/A
Mapstone - Mackay,2021,06 - June,N/A,N/A
Mapstone - Mackay,2021,07 - July,N/A,N/A
Mapstone - Mackay,2021,10 - October,N/A,N/A
Mapstone - Mackay,2021,12 - December,N/A,N/A
Mapstone - Mackay,2021 Total,,N/A,N/A
Mapstone - Mackay,2022,03 - March,N/A,N/A
Mapstone - Mackay,2022,04 - April,N/A,N/A
Mapstone - Mackay,2022,05 - May,N/A,N/A
Mapstone - Mackay,2022,06 - June,N/A,N/A
Mapstone - Mackay,2022,07 - July,N/A,N/A
Mapstone - Mackay,2022,08 - August,N/A,N/A
Mapstone - Mackay,2022,09 - September,N/A,N/A
Mapstone - Mackay,2022,10 - October,N/A,N/A
Mapstone - Mackay,2022 Total,,N/A,N/A
Mapstone - Mackay,2023,01 - January,N/A,N/A
Mapstone - Mackay,2023,02 - February,N/A,N/A
Mapstone - Mackay,2023,03 - March,N/A,N/A
Mapstone - Mackay,2023,04 - April,N/A,N/A
Mapstone - Mackay,2023,05 - May,N/A,N/A
Mapstone - Mackay,2023,07 - July,N/A,N/A
Mapstone - Mackay,2023,08 - August,N/A,N/A
Mapstone - Mackay,2023,09 - September,N/A,N/A
Mapstone - Mackay,2023,10 - October,N/A,N/A
Mapstone - Mackay,2023 Total,,N/A,N/A
Mapstone - Mackay Total,,,384,"5,551.78"
Mapstone - The swains,1996,09 - September,N/A,N/A
Mapstone - The swains,1997,09 - September,N/A,N/A
Mapstone - The swains,1998,05 - May,N/A,N/A
Mapstone - The swains,2000,03 - March,N/A,N/A
Mapstone - The swains,2000,06 - June,N/A,N/A
Mapstone - The swains,2000 Total,,N/A,N/A
Mapstone - The swains,2001,01 - January,N/A,N/A
Mapstone - The swains,2003,08 - August,N/A,N/A
Mapstone - The swains,2005,06 - June,N/A,N/A
Mapstone - The swains Total,,,17,143.82
Mapstone - Townsville,1996,04 - April,N/A,N/A
Mapstone - Townsville,1996,05 - May,N/A,N/A
Mapstone - Townsville,1996,06 - June,N/A,N/A
Mapstone - Townsville,1996,07 - July,N/A,N/A
Mapstone - Townsville,1996,08 - August,N/A,N/A
Mapstone - Townsville,1996,09 - September,24,0
Mapstone - Townsville,1996,10 - October,32,23.3
Mapstone - Townsville,1996,11 - November,36,35.95
Mapstone - Townsville,1996,12 - December,N/A,N/A
Mapstone - Townsville,1996 Total,,140,66.25
Mapstone - Townsville,1997,01 - January,31,27.5
Mapstone - Townsville,1997,02 - February,32,14.5
Mapstone - Townsville,1997,03 - March,33,32.5
Mapstone - Townsville,1997,04 - April,47,52
Mapstone - Townsville,1997,05 - May,49,90.5
Mapstone - Townsville,1997,06 - June,26,65
Mapstone - Townsville,1997,07 - July,N/A,N/A
Mapstone - Townsville,1997,08 - August,27,66.5
Mapstone - Townsville,1997,09 - September,49,59.5
Mapstone - Townsville,1997,10 - October,63,66.32
Mapstone - Townsville,1997,11 - November,50,17
Mapstone - Townsville,1997,12 - December,31,5
Mapstone - Townsville,1997 Total,,462,540.32
Mapstone - Townsville,1998,01 - January,24,0
Mapstone - Townsville,1998,02 - February,37,84.76
Mapstone - Townsville,1998,03 - March,35,28
Mapstone - Townsville,1998,04 - April,40,58
Mapstone - Townsville,1998,05 - May,37,39
Mapstone - Townsville,1998,06 - June,34,93
Mapstone - Townsville,1998,07 - July,51,63.5
Mapstone - Townsville,1998,08 - August,45,58
Mapstone - Townsville,1998,09 - September,77,28.44
Mapstone - Townsville,1998,10 - October,107,160.6
Mapstone - Townsville,1998,11 - November,79,326
Mapstone - Townsville,1998,12 - December,55,74.4
Mapstone - Townsville,1998 Total,,621,"1,013.7"
Mapstone - Townsville,1999,01 - January,46,36.58
Mapstone - Townsville,1999,02 - February,44,103.94
Mapstone - Townsville,1999,03 - March,55,98.5
Mapstone - Townsville,1999,04 - April,72,101
Mapstone - Townsville,1999,05 - May,67,149
Mapstone - Townsville,1999,06 - June,60,199.5
Mapstone - Townsville,1999,07 - July,63,113.5
Mapstone - Townsville,1999,08 - August,45,119.88
Mapstone - Townsville,1999,09 - September,84,290.54
Mapstone - Townsville,1999,10 - October,132,247.08
Mapstone - Townsville,1999,11 - November,51,32
Mapstone - Townsville,1999,12 - December,36,0
Mapstone - Townsville,1999 Total,,755,"1,491.52"
Mapstone - Townsville,2000,01 - January,37,39
Mapstone - Townsville,2000,02 - February,38,46
Mapstone - Townsville,2000,03 - March,56,75.5
Mapstone - Townsville,2000,04 - April,45,14
Mapstone - Townsville,2000,05 - May,52,87
Mapstone - Townsville,2000,06 - June,39,85
Mapstone - Townsville,2000,07 - July,38,106.5
Mapstone - Townsville,2000,08 - August,62,175.5
Mapstone - Townsville,2000,09 - September,82,181.2
Mapstone - Townsville,2000,10 - October,151,965.35
Mapstone - Townsville,2000,11 - November,72,22
Mapstone - Townsville,2000,12 - December,36,0
Mapstone - Townsville,2000 Total,,708,"1,797.05"
Mapstone - Townsville,2001,01 - January,49,10
Mapstone - Townsville,2001,02 - February,60,185
Mapstone - Townsville,2001,03 - March,92,313
Mapstone - Townsville,2001,04 - April,90,163
Mapstone - Townsville,2001,05 - May,98,244.94
Mapstone - Townsville,2001,06 - June,72,122.5
Mapstone - Townsville,2001,07 - July,80,145.82
Mapstone - Townsville,2001,08 - August,73,104.5
Mapstone - Townsville,2001,09 - September,104,249.12
Mapstone - Townsville,2001,10 - October,148,326.22
Mapstone - Townsville,2001,11 - November,71,0
Mapstone - Townsville,2001,12 - December,44,0
Mapstone - Townsville,2001 Total,,981,"1,864.1"
Mapstone - Townsville,2002,01 - January,50,5.5
Mapstone - Townsville,2002,02 - February,72,251.94
Mapstone - Townsville,2002,03 - March,89,153.5
Mapstone - Townsville,2002,04 - April,107,241.94
Mapstone - Townsville,2002,05 - May,113,211.98
Mapstone - Townsville,2002,06 - June,97,554.94
Mapstone - Townsville,2002,07 - July,67,111
Mapstone - Townsville,2002,08 - August,101,253.94
Mapstone - Townsville,2002,09 - September,94,82.14
Mapstone - Townsville,2002,10 - October,150,319.34
Mapstone - Townsville,2002,11 - November,79,102.9
Mapstone - Townsville,2002,12 - December,67,86.04
Mapstone - Townsville,2002 Total,,1086,"2,375.16"
Mapstone - Townsville,2003,01 - January,63,137.38
Mapstone - Townsville,2003,02 - February,108,441.56
Mapstone - Townsville,2003,03 - March,117,491.82
Mapstone - Townsville,2003,04 - April,126,265.7
Mapstone - Townsville,2003,05 - May,111,215.78
Mapstone - Townsville,2003,06 - June,72,191
Mapstone - Townsville,2003,07 - July,66,140
Mapstone - Townsville,2003,08 - August,76,83
Mapstone - Townsville,2003,09 - September,131,243
Mapstone - Townsville,2003,10 - October,159,255.38
Mapstone - Townsville,2003,11 - November,95,41
Mapstone - Townsville,2003,12 - December,53,39
Mapstone - Townsville,2003 Total,,1177,"2,544.62"
Mapstone - Townsville,2004,01 - January,59,54.6
Mapstone - Townsville,2004,02 - February,68,417.9
Mapstone - Townsville,2004,03 - March,102,356.02
Mapstone - Townsville,2004,04 - April,74,181.32
Mapstone - Townsville,2004,05 - May,62,257
Mapstone - Townsville,2004,06 - June,64,176.56
Mapstone - Townsville,2004,07 - July,85,209.28
Mapstone - Townsville,2004,08 - August,86,121.44
Mapstone - Townsville,2004,09 - September,127,149
Mapstone - Townsville,2004,10 - October,151,400.38
Mapstone - Townsville,2004,11 - November,108,31.26
Mapstone - Townsville,2004,12 - December,47,11
Mapstone - Townsville,2004 Total,,1033,"2,365.76"
Mapstone - Townsville,2005,01 - January,53,0
Mapstone - Townsville,2005,02 - February,112,373
Mapstone - Townsville,2005,03 - March,115,385.44
Mapstone - Townsville,2005,04 - April,73,171.5
Mapstone - Townsville,2005,05 - May,72,218.34
Mapstone - Townsville,2005,06 - June,56,153.56
Mapstone - Townsville,2005,07 - July,40,49
Mapstone - Townsville,2005,08 - August,85,173
Mapstone - Townsville,2005,09 - September,112,426.5
Mapstone - Townsville,2005,10 - October,151,636.14
Mapstone - Townsville,2005,11 - November,54,79.82
Mapstone - Townsville,2005,12 - December,27,7
Mapstone - Townsville,2005 Total,,950,"2,673.3"
Mapstone - Townsville,2006,01 - January,31,0
Mapstone - Townsville,2006,02 - February,73,401.26
Mapstone - Townsville,2006,03 - March,53,143
Mapstone - Townsville,2006,04 - April,50,216.38
Mapstone - Townsville,2006,05 - May,63,404.52
Mapstone - Townsville,2006,06 - June,32,113.38
Mapstone - Townsville,2006,07 - July,27,104.38
Mapstone - Townsville,2006,08 - August,41,154.76
Mapstone - Townsville,2006,09 - September,49,104
Mapstone - Townsville,2006,10 - October,75,392.28
Mapstone - Townsville,2006,11 - November,29,4
Mapstone - Townsville,2006,12 - December,N/A,N/A
Mapstone - Townsville,2006 Total,,532,"2,037.96"
Mapstone - Townsville,2007,01 - January,22,0
Mapstone - Townsville,2007,02 - February,21,79
Mapstone - Townsville,2007,03 - March,26,176
Mapstone - Townsville,2007,04 - April,30,92.94
Mapstone - Townsville,2007,05 - May,25,98.52
Mapstone - Townsville,2007,06 - June,14,36.82
Mapstone - Townsville,2007,07 - July,29,92.16
Mapstone - Townsville,2007,08 - August,17,63.82
Mapstone - Townsville,2007,09 - September,39,103.08
Mapstone - Townsville,2007,10 - October,61,193.88
Mapstone - Townsville,2007,11 - November,21,0
Mapstone - Townsville,2007,12 - December,12,0
Mapstone - Townsville,2007 Total,,317,936.22
Mapstone - Townsville,2008,01 - January,16,0
Mapstone - Townsville,2008,02 - February,20,69.76
Mapstone - Townsville,2008,03 - March,18,127.4
Mapstone - Townsville,2008,04 - April,29,185
Mapstone - Townsville,2008,05 - May,22,54
Mapstone - Townsville,2008,06 - June,10,28
Mapstone - Townsville,2008,07 - July,16,21
Mapstone - Townsville,2008,08 - August,23,33
Mapstone - Townsville,2008,09 - September,25,183
Mapstone - Townsville,2008,10 - October,48,281
Mapstone - Townsville,2008,11 - November,15,0
Mapstone - Townsville,2008,12 - December,12,11
Mapstone - Townsville,2008 Total,,254,993.16
Mapstone - Townsville,2009,01 - January,N/A,N/A
Mapstone - Townsville,2009,02 - February,14,63
Mapstone - Townsville,2009,03 - March,N/A,N/A
Mapstone - Townsville,2009,04 - April,41,248.76
Mapstone - Townsville,2009,05 - May,45,271.88
Mapstone - Townsville,2009,06 - June,26,137
Mapstone - Townsville,2009,07 - July,24,203
Mapstone - Townsville,2009,08 - August,34,195.14
Mapstone - Townsville,2009,09 - September,32,256.86
Mapstone - Townsville,2009,10 - October,44,293.56
Mapstone - Townsville,2009,11 - November,N/A,N/A
Mapstone - Townsville,2009,12 - December,N/A,N/A
Mapstone - Townsville,2009 Total,,310,"1,878.08"
Mapstone - Townsville,2010,01 - January,N/A,N/A
Mapstone - Townsville,2010,02 - February,18,44
Mapstone - Townsville,2010,03 - March,N/A,N/A
Mapstone - Townsville,2010,04 - April,14,55
Mapstone - Townsville,2010,05 - May,36,218
Mapstone - Townsville,2010,06 - June,27,70.94
Mapstone - Townsville,2010,07 - July,16,118
Mapstone - Townsville,2010,08 - August,17,12
Mapstone - Townsville,2010,09 - September,25,183
Mapstone - Townsville,2010,10 - October,51,496
Mapstone - Townsville,2010,11 - November,N/A,N/A
Mapstone - Townsville,2010,12 - December,N/A,N/A
Mapstone - Townsville,2010 Total,,221,"1,238.94"
Mapstone - Townsville,2011,01 - January,N/A,N/A
Mapstone - Townsville,2011,02 - February,18,420.8
Mapstone - Townsville,2011,03 - March,N/A,N/A
Mapstone - Townsville,2011,04 - April,N/A,N/A
Mapstone - Townsville,2011,05 - May,N/A,N/A
Mapstone - Townsville,2011,06 - June,N/A,N/A
Mapstone - Townsville,2011,07 - July,21,64
Mapstone - Townsville,2011,08 - August,21,69
Mapstone - Townsville,2011,09 - September,14,8
Mapstone - Townsville,2011,10 - October,14,4
Mapstone - Townsville,2011,11 - November,N/A,N/A
Mapstone - Townsville,2011 Total,,136,865.8
Mapstone - Townsville,2012,01 - January,N/A,N/A
Mapstone - Townsville,2012,02 - February,N/A,N/A
Mapstone - Townsville,2012,03 - March,N/A,N/A
Mapstone - Townsville,2012,04 - April,N/A,N/A
Mapstone - Townsville,2012,05 - May,N/A,N/A
Mapstone - Townsville,2012,06 - June,N/A,N/A
Mapstone - Townsville,2012,07 - July,N/A,N/A
Mapstone - Townsville,2012,08 - August,N/A,N/A
Mapstone - Townsville,2012,09 - September,N/A,N/A
Mapstone - Townsville,2012,10 - October,N/A,N/A
Mapstone - Townsville,2012,11 - November,N/A,N/A
Mapstone - Townsville,2012 Total,,113,404
Mapstone - Townsville,2013,02 - February,N/A,N/A
Mapstone - Townsville,2013,03 - March,N/A,N/A
Mapstone - Townsville,2013,04 - April,22,25
Mapstone - Townsville,2013,05 - May,19,14
Mapstone - Townsville,2013,06 - June,20,20.94
Mapstone - Townsville,2013,07 - July,15,63
Mapstone - Townsville,2013,08 - August,12,18.88
Mapstone - Townsville,2013,09 - September,22,79
Mapstone - Townsville,2013,10 - October,37,126
Mapstone - Townsville,2013,11 - November,N/A,N/A
Mapstone - Townsville,2013 Total,,165,391.82
Mapstone - Townsville,2014,02 - February,N/A,N/A
Mapstone - Townsville,2014,03 - March,N/A,N/A
Mapstone - Townsville,2014,04 - April,N/A,N/A
Mapstone - Townsville,2014,05 - May,N/A,N/A
Mapstone - Townsville,2014,06 - June,N/A,N/A
Mapstone - Townsville,2014,07 - July,N/A,N/A
Mapstone - Townsville,2014,08 - August,N/A,N/A
Mapstone - Townsville,2014,09 - September,N/A,N/A
Mapstone - Townsville,2014,10 - October,N/A,N/A
Mapstone - Townsville,2014 Total,,79,68
Mapstone - Townsville,2015,01 - January,N/A,N/A
Mapstone - Townsville,2015,02 - February,N/A,N/A
Mapstone - Townsville,2015,03 - March,N/A,N/A
Mapstone - Townsville,2015,04 - April,N/A,N/A
Mapstone - Townsville,2015,05 - May,N/A,N/A
Mapstone - Townsville,2015,06 - June,N/A,N/A
Mapstone - Townsville,2015,07 - July,N/A,N/A
Mapstone - Townsville,2015,08 - August,N/A,N/A
Mapstone - Townsville,2015,09 - September,22,10
Mapstone - Townsville,2015,10 - October,N/A,N/A
Mapstone - Townsville,2015,11 - November,N/A,N/A
Mapstone - Townsville,2015,12 - December,N/A,N/A
Mapstone - Townsville,2015 Total,,117,202
Mapstone - Townsville,2016,01 - January,N/A,N/A
Mapstone - Townsville,2016,02 - February,N/A,N/A
Mapstone - Townsville,2016,03 - March,N/A,N/A
Mapstone - Townsville,2016,04 - April,33,174
Mapstone - Townsville,2016,05 - May,17,17
Mapstone - Townsville,2016,06 - June,N/A,N/A
Mapstone - Townsville,2016,07 - July,15,36.64
Mapstone - Townsville,2016,08 - August,13,38
Mapstone - Townsville,2016,09 - September,27,85.52
Mapstone - Townsville,2016,10 - October,28,129.7
Mapstone - Townsville,2016,11 - November,N/A,N/A
Mapstone - Townsville,2016,12 - December,N/A,N/A
Mapstone - Townsville,2016 Total,,169,732.78
Mapstone - Townsville,2017,01 - January,N/A,N/A
Mapstone - Townsville,2017,02 - February,7,27.32
Mapstone - Townsville,2017,03 - March,13,62
Mapstone - Townsville,2017,04 - April,26,147.8
Mapstone - Townsville,2017,05 - May,N/A,N/A
Mapstone - Townsville,2017,06 - June,18,11.82
Mapstone - Townsville,2017,07 - July,9,10
Mapstone - Townsville,2017,08 - August,N/A,N/A
Mapstone - Townsville,2017,09 - September,N/A,N/A
Mapstone - Townsville,2017,10 - October,N/A,N/A
Mapstone - Townsville,2017,11 - November,N/A,N/A
Mapstone - Townsville,2017,12 - December,N/A,N/A
Mapstone - Townsville,2017 Total,,156,368.22
Mapstone - Townsville,2018,01 - January,N/A,N/A
Mapstone - Townsville,2018,02 - February,N/A,N/A
Mapstone - Townsville,2018,03 - March,N/A,N/A
Mapstone - Townsville,2018,04 - April,N/A,N/A
Mapstone - Townsville,2018,05 - May,24,72
Mapstone - Townsville,2018,06 - June,13,23
Mapstone - Townsville,2018,07 - July,N/A,N/A
Mapstone - Townsville,2018,08 - August,9,14
Mapstone - Townsville,2018,09 - September,28,75
Mapstone - Townsville,2018,10 - October,N/A,N/A
Mapstone - Townsville,2018,11 - November,N/A,N/A
Mapstone - Townsville,2018 Total,,155,652.88
Mapstone - Townsville,2019,02 - February,N/A,N/A
Mapstone - Townsville,2019,03 - March,18,98.58
Mapstone - Townsville,2019,04 - April,N/A,N/A
Mapstone - Townsville,2019,05 - May,N/A,N/A
Mapstone - Townsville,2019,06 - June,N/A,N/A
Mapstone - Townsville,2019,07 - July,9,57.76
Mapstone - Townsville,2019,08 - August,9,28.64
Mapstone - Townsville,2019,09 - September,N/A,N/A
Mapstone - Townsville,2019,10 - October,22,70
Mapstone - Townsville,2019,11 - November,N/A,N/A
Mapstone - Townsville,2019,12 - December,N/A,N/A
Mapstone - Townsville,2019 Total,,98,364.62
Mapstone - Townsville,2020,03 - March,N/A,N/A
Mapstone - Townsville,2020,07 - July,N/A,N/A
Mapstone - Townsville,2020,08 - August,N/A,N/A
Mapstone - Townsville,2020,09 - September,N/A,N/A
Mapstone - Townsville,2020,10 - October,N/A,N/A
Mapstone - Townsville,2020,11 - November,N/A,N/A
Mapstone - Townsville,2020 Total,,24,18.94
Mapstone - Townsville,2021,02 - February,N/A,N/A
Mapstone - Townsville,2021,03 - March,N/A,N/A
Mapstone - Townsville,2021,04 - April,N/A,N/A
Mapstone - Townsville,2021,05 - May,N/A,N/A
Mapstone - Townsville,2021,06 - June,N/A,N/A
Mapstone - Townsville,2021,07 - July,N/A,N/A
Mapstone - Townsville,2021,09 - September,N/A,N/A
Mapstone - Townsville,2021,10 - October,N/A,N/A
Mapstone - Townsville,2021,11 - November,N/A,N/A
Mapstone - Townsville,2021 Total,,39,49.76
Mapstone - Townsville,2022,01 - January,N/A,N/A
Mapstone - Townsville,2022,02 - February,N/A,N/A
Mapstone - Townsville,2022,03 - March,N/A,N/A
Mapstone - Townsville,2022,04 - April,N/A,N/A
Mapstone - Townsville,2022,05 - May,N/A,N/A
Mapstone - Townsville,2022,06 - June,N/A,N/A
Mapstone - Townsville,2022,07 - July,N/A,N/A
Mapstone - Townsville,2022,08 - August,N/A,N/A
Mapstone - Townsville,2022,09 - September,N/A,N/A
Mapstone - Townsville,2022,10 - October,22,232.26
Mapstone - Townsville,2022,11 - November,N/A,N/A
Mapstone - Townsville,2022,12 - December,N/A,N/A
Mapstone - Townsville,2022 Total,,85,328.08
Mapstone - Townsville,2023,02 - February,N/A,N/A
Mapstone - Townsville,2023,03 - March,N/A,N/A
Mapstone - Townsville,2023,04 - April,N/A,N/A
Mapstone - Townsville,2023,05 - May,N/A,N/A
Mapstone - Townsville,2023,06 - June,N/A,N/A
Mapstone - Townsville,2023,07 - July,N/A,N/A
Mapstone - Townsville,2023,08 - August,N/A,N/A
Mapstone - Townsville,2023,09 - September,N/A,N/A
Mapstone - Townsville,2023,10 - October,N/A,N/A
Mapstone - Townsville,2023,11 - November,N/A,N/A
Mapstone - Townsville,2023,12 - December,N/A,N/A
Mapstone - Townsville,2023 Total,,61,194.82
Mapstone - Townsville Total,,,10944,"28,457.86"
Grand Total,,,30362,"84,037.23"
